?complex    ?complexName                                                           ?complexLocation          ?reactomeID               ?protein
Complex62   p-2S-SMAD2/3:SMAD4:SP1                                                 nucleoplasm               Reactome DB_ID: 2187302   Complex50
Complex62   p-2S-SMAD2/3:SMAD4:SP1                                                 nucleoplasm               Reactome DB_ID: 2187302   Protein118
Complex63   p-2S-SMAD2/3:SMAD4:MEN1                                                nucleoplasm               Reactome DB_ID: 2186642   Complex50
Complex63   p-2S-SMAD2/3:SMAD4:MEN1                                                nucleoplasm               Reactome DB_ID: 2186642   Protein120
Complex64   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR                                       nucleoplasm               Reactome DB_ID: 177110    Protein73
Complex64   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR                                       nucleoplasm               Reactome DB_ID: 177110    Protein74
Complex64   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR                                       nucleoplasm               Reactome DB_ID: 177110    Protein122
Complex64   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR                                       nucleoplasm               Reactome DB_ID: 177110    Physical Entity4
Complex65   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2                         nucleoplasm               Reactome DB_ID: 2186744   Protein131
Complex65   p-2S-SMAD2/3:SMAD4:SKI/SKIL:NCOR:RNF111/SMURF2                         nucleoplasm               Reactome DB_ID: 2186744   Complex64
Complex66   Ub-SKI/Ub-SKIL                                                         nucleoplasm               Reactome DB_ID: 2186733   Protein122
Complex66   Ub-SKI/Ub-SKIL                                                         nucleoplasm               Reactome DB_ID: 2186733   Protein95
Complex67   p-SMAD2/3:SMAD4:TRIM33                                                 nucleoplasm               Reactome DB_ID: 870446    Complex50
Complex67   p-SMAD2/3:SMAD4:TRIM33                                                 nucleoplasm               Reactome DB_ID: 870446    Protein132
Complex68   Ub-SMAD4                                                               nucleoplasm               Reactome DB_ID: 870463    Protein73
Complex68   Ub-SMAD4                                                               nucleoplasm               Reactome DB_ID: 870463    Protein95
Complex69   Ub-SMAD4                                                               cytosol                   Reactome DB_ID: 870482    Protein43
Complex69   Ub-SMAD4                                                               cytosol                   Reactome DB_ID: 870482    Protein22
Complex7    TGFBR1 homodimer                                                       plasma membrane           Reactome DB_ID: 170864    Protein7
Complex70   Ub-SMAD4:USP9X                                                         cytosol                   Reactome DB_ID: 870520    Protein43
Complex70   Ub-SMAD4:USP9X                                                         cytosol                   Reactome DB_ID: 870520    Protein133
Complex70   Ub-SMAD4:USP9X                                                         cytosol                   Reactome DB_ID: 870520    Protein22
Complex71   p-T-2S-SMAD2/3:SMAD4:NEDDL4                                            nucleoplasm               Reactome DB_ID: 2176495   Protein41
Complex71   p-T-2S-SMAD2/3:SMAD4:NEDDL4                                            nucleoplasm               Reactome DB_ID: 2176495   Complex51
Complex72   Ub-p-T-2S-SMAD2/3:SMAD4                                                nucleoplasm               Reactome DB_ID: 2176504   Complex51
Complex72   Ub-p-T-2S-SMAD2/3:SMAD4                                                nucleoplasm               Reactome DB_ID: 2176504   Protein95
Complex73   p-T-2S-SMAD2/3:SMAD4:SMURF2                                            nucleoplasm               Reactome DB_ID: 2179277   Complex51
Complex73   p-T-2S-SMAD2/3:SMAD4:SMURF2                                            nucleoplasm               Reactome DB_ID: 2179277   Protein30
Complex74   Ub-p-T-2S-SMAD2/3                                                      nucleoplasm               Reactome DB_ID: 2179273   Physical Entity3
Complex74   Ub-p-T-2S-SMAD2/3                                                      nucleoplasm               Reactome DB_ID: 2179273   Protein95
